14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
25-05-112-031-0000,1340,W,89TH,ST,4962,21,AUBURN GRESHAM,B3-1,NOT IN TIF,"1340 W 89TH ST
CHICAGO, IL
(41.732291, -87.657039)"
25-05-112-032-0000,1336,W,89TH,ST,2480,21,AUBURN GRESHAM,B3-1,NOT IN TIF,"1336 W 89TH ST
CHICAGO, IL
(41.732292, -87.656968)"
25-05-112-033-0000,8844,S,ADA,ST,2584,21,AUBURN GRESHAM,B3-1,NOT IN TIF,"8844 S ADA ST
CHICAGO, IL
(41.733273, -87.656858)"
25-05-119-018-0000,8914,S,LOOMIS,ST,6255,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"8914 S LOOMIS ST
CHICAGO, IL
(41.731858, -87.658068)"
25-05-119-019-0000,,,89TH AND LOOMIS,,6255,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,
25-05-119-020-0000,8926,S,LOOMIS,ST,6255,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"8926 S LOOMIS ST
CHICAGO, IL
(41.731532, -87.658056)"
25-05-119-021-0000,8930,S,LOOMIS,ST,12511,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"8930 S LOOMIS ST
CHICAGO, IL
(41.731585, -87.658058)"
25-05-119-022-0000,8940,S,LOOMIS,ST,6253,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"8940 S LOOMIS ST
CHICAGO, IL
(41.731003, -87.658034)"
25-05-119-023-0000,8944,S,LOOMIS,ST,6255,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"8944 S LOOMIS ST
CHICAGO, IL
(41.730855, -87.658029)"
25-05-119-026-0000,8950,S,LOOMIS,ST,6486,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"8950 S LOOMIS ST
CHICAGO, IL
(41.7307, -87.658022)"
25-05-119-027-0000,8956,S,LOOMIS,ST,5872,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"8956 S LOOMIS ST
CHICAGO, IL
(41.730578, -87.658017)"
25-05-119-028-0000,,,89TH AND LOOMIS,,3131,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,
25-05-119-029-0000,,,89TH AND LOOMIS,,3125,21,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,
25-05-119-030-0000,8910,S,LOOMIS,ST,3370,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"8910 S LOOMIS ST
CHICAGO, IL
(41.731851, -87.658068)"
25-05-119-031-0000,8912,S,LOOMIS,ST,2883,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"8912 S LOOMIS ST
CHICAGO, IL
(41.731769, -87.658065)"
25-05-120-006-0000,8929,S,LOOMIS,ST,6231,21,WASHINGTON HEIGHTS,RT-3.5,NOT IN TIF,"8929 S LOOMIS ST
CHICAGO, IL
(41.73124, -87.658044)"
25-05-120-007-0000,8935,S,LOOMIS,ST,6228,21,WASHINGTON HEIGHTS,RT-3.5,NOT IN TIF,"8935 S LOOMIS ST
CHICAGO, IL
(41.731105, -87.658038)"
25-05-120-008-0000,8941,S,LOOMIS,ST,6226,21,WASHINGTON HEIGHTS,RT-3.5,NOT IN TIF,"8941 S LOOMIS ST
CHICAGO, IL
(41.731414, -87.658051)"
25-05-120-009-0000,8945,S,LOOMIS,ST,6224,21,WASHINGTON HEIGHTS,RT-3.5,NOT IN TIF,"8945 S LOOMIS ST
CHICAGO, IL
(41.730804, -87.658027)"
25-05-120-024-0000,1346,W,90TH,ST,12439,21,WASHINGTON HEIGHTS,RT-3.5,NOT IN TIF,"1346 W 90TH ST
CHICAGO, IL
(41.730452, -87.656817)"
25-05-200-010-0000,8715,S,RACINE,AVE,4645,21,AUBURN GRESHAM,RS-3,NOT IN TIF,"8715 S RACINE AVE
CHICAGO, IL
(41.735381, -87.653341)"
25-05-204-012-0000,8739,S,MORGAN,ST,4218,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8739 S MORGAN ST
CHICAGO, IL
(41.734875, -87.648474)"
25-05-208-019-0000,8751,S,GENOA,AVE,2467,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8751 S GENOA AVE
CHICAGO, IL
(41.735055, -87.644442)"
25-05-209-026-0000,8840,S,MAY,,4663,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8840 S MAY
CHICAGO, IL
(41.733424, -87.652056)"
25-05-212-030-0000,8830,S,MORGAN,ST,6229,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8830 S MORGAN ST
CHICAGO, IL
(41.733203, -87.648412)"
25-05-220-016-0000,8957,S,CARPENTER,ST,3017,21,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"8957 S CARPENTER ST
CHICAGO, IL
(41.73073, -87.649555)"
25-05-225-032-0000,8922,S,HALSTED,ST,2716,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8922 S HALSTED ST
CHICAGO, IL
(41.732148, -87.643581)"
25-05-225-033-0000,8922,S,HALSTED,ST,2714,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8922 S HALSTED ST
CHICAGO, IL
(41.732148, -87.643581)"
25-05-232-016-0000,9045,S,GREEN,ST,3139,21,AUBURN GRESHAM,M1-1,NOT IN TIF,"9045 S GREEN ST
CHICAGO, IL
(41.729215, -87.644634)"
25-05-232-017-0000,9057,S,GREEN,ST,3142,21,AUBURN GRESHAM,M1-1,NOT IN TIF,"9057 S GREEN ST
CHICAGO, IL
(41.729271, -87.644637)"
25-05-232-018-0000,9059,S,GREEN,ST,3139,21,AUBURN GRESHAM,M1-1,NOT IN TIF,"9059 S GREEN ST
CHICAGO, IL
(41.729199, -87.644634)"
25-05-232-019-0000,9061,S,GREEN,ST,3142,21,AUBURN GRESHAM,M1-1,NOT IN TIF,"9061 S GREEN ST
CHICAGO, IL
(41.729295, -87.644638)"
25-05-232-020-0000,9063,S,GREEN,ST,3139,21,AUBURN GRESHAM,M1-1,NOT IN TIF,"9063 S GREEN ST
CHICAGO, IL
(41.729125, -87.64463)"
25-05-409-011-0000,9238,S,VINCENNES,AVE,1979,21,WASHINGTON HEIGHTS,C1-1,NOT IN TIF,"9238 S VINCENNES AVE
CHICAGO, IL
(41.72555, -87.649128)"
25-05-409-012-0000,9238,S,VINCENNES,AVE,1792,21,WASHINGTON HEIGHTS,C1-1,NOT IN TIF,"9238 S VINCENNES AVE
CHICAGO, IL
(41.72555, -87.649128)"
25-05-409-013-0000,9238,S,VINCENNES,AVE,1608,21,WASHINGTON HEIGHTS,C1-1,NOT IN TIF,"9238 S VINCENNES AVE
CHICAGO, IL
(41.72555, -87.649128)"
25-05-409-014-0000,9238,S,VINCENNES,AVE,1437,21,WASHINGTON HEIGHTS,C1-1,NOT IN TIF,"9238 S VINCENNES AVE
CHICAGO, IL
(41.72555, -87.649128)"
25-06-206-009-0000,8725,S,MARSHFIELD,,5618,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8725 S MARSHFIELD
CHICAGO, IL
(41.735087, -87.664281)"
25-06-207-068-0000,8866,S,WINCHESTER,AVE,3125,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8866 S WINCHESTER AVE
CHICAGO, IL
(41.73219, -87.668335)"
25-06-211-048-0000,8842,S,PAULINA,ST,4669,21,AUBURN GRESHAM,RS-2,NOT IN TIF,"8842 S PAULINA ST
CHICAGO, IL
(41.732617, -87.665384)"
25-06-424-023-0000,1752,W,95TH,,7513,19,BEVERLY,B1-1,95th/Western,"1752 W 95TH
CHICAGO, IL
(41.720273, -87.666955)"
25-07-105-009-0000,2121,W,95TH,ST,2946,19,BEVERLY,B3-1,95th/Western,"2121 W 95TH ST
CHICAGO, IL
(41.720959, -87.675627)"
25-07-202-031-0000,9501,S,LONGWOOD,DR,15661,19,BEVERLY,B1-1,95th/Western,"9501 S LONGWOOD DR
CHICAGO, IL
(41.720887, -87.669122)"
25-08-103-022-0000,9605,S,BISHOP,,2801,21,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"9605 S BISHOP
CHICAGO, IL
(41.719463, -87.658799)"
25-08-200-005-0000,1143,W,95TH,ST,3198,21,WASHINGTON HEIGHTS,B3-1,NOT IN TIF,"1143 W 95TH ST
CHICAGO, IL
(41.721279, -87.651993)"
25-08-216-005-0000,9781,S,RACINE,AVE,6109,21,WASHINGTON HEIGHTS,RS-3,NOT IN TIF,"9781 S RACINE AVE
CHICAGO, IL
(41.716107, -87.652887)"
25-08-301-018-0000,9961,S,CHARLES,,3381,34,BEVERLY,RS-2,105th/Vincennes,"9961 S CHARLES
CHICAGO, IL
(41.712349, -87.660941)"
25-08-310-006-0000,10156,S,ELIZABETH,ST,7299,34,WASHINGTON HEIGHTS,RS-2,105th/Vincennes,"10156 S ELIZABETH ST
CHICAGO, IL
(41.709773, -87.653775)"
25-08-423-010-0000,10137,S,GREEN,ST,4367,34,WASHINGTON HEIGHTS,RS-2,105th/Vincennes,"10137 S GREEN ST
CHICAGO, IL
(41.70987, -87.644135)"
25-09-106-031-0000,418,W,95TH,,3146,21,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"418 W 95TH
CHICAGO, IL
(41.721617, -87.634433)"
25-09-115-029-0000,9636,S,EGGLESTON,AVE,6019,21,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"9636 S EGGLESTON AVE
CHICAGO, IL
(41.718806, -87.633915)"
25-09-123-027-0000,9738,S,EGGLESTON,,3055,21,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"9738 S EGGLESTON
CHICAGO, IL
(41.71696, -87.633878)"
25-09-201-004-0000,315,W,95TH,ST,2672,21,ROSELAND,B3-1,NOT IN TIF,"315 W 95TH ST
CHICAGO, IL
(41.721552, -87.631685)"
25-09-201-010-0000,9517,S,HARVARD,AVE,3345,21,ROSELAND,RS-2,NOT IN TIF,"9517 S HARVARD AVE
CHICAGO, IL
(41.721038, -87.632315)"
25-09-202-028-0000,9514,S,YALE,AVE,3346,21,ROSELAND,RS-2,NOT IN TIF,"9514 S YALE AVE
CHICAGO, IL
(41.721096, -87.629878)"
25-09-202-041-0000,9548,S,YALE,AVE,3121,21,ROSELAND,RS-2,NOT IN TIF,"9548 S YALE AVE
CHICAGO, IL
(41.720606, -87.629862)"
25-09-203-010-0000,201,W,95TH,ST,3867,21,ROSELAND,B1-1,NOT IN TIF,"201 W 95TH ST
CHICAGO, IL
(41.721571, -87.628655)"
25-09-204-010-0000,9515,S,WENTWORTH,AVE,6335,21,ROSELAND,RS-2,NOT IN TIF,"9515 S WENTWORTH AVE
CHICAGO, IL
(41.721074, -87.628644)"
25-09-204-024-0000,9530,S,LA SALLE,ST,7458,21,ROSELAND,RS-2,NOT IN TIF,"9530 S LA SALLE ST
CHICAGO, IL
(41.720613, -87.627417)"
25-09-204-030-0000,9518,S,LA SALLE,ST,3731,21,ROSELAND,RS-2,NOT IN TIF,"9518 S LA SALLE ST
CHICAGO, IL
(41.720986, -87.62743)"
25-09-204-036-0000,9540,S,LA SALLE,ST,3723,21,ROSELAND,RS-2,NOT IN TIF,"9540 S LA SALLE ST
CHICAGO, IL
(41.72032, -87.627407)"
25-09-204-037-0000,9542,S,LA SALLE,ST,3727,21,ROSELAND,RS-2,NOT IN TIF,"9542 S LA SALLE ST
CHICAGO, IL
(41.720248, -87.627404)"
25-09-205-022-0000,9520,S,PERRY,AVE,4436,21,ROSELAND,RS-3,NOT IN TIF,"9520 S PERRY AVE
CHICAGO, IL
(41.721237, -87.62623)"
25-09-205-023-0000,9520,S,PERRY,AVE,3127,21,ROSELAND,RS-3,NOT IN TIF,"9520 S PERRY AVE
CHICAGO, IL
(41.721237, -87.62623)"
25-09-205-024-0000,9528,S,PERRY,AVE,3124,21,ROSELAND,RS-3,NOT IN TIF,"9528 S PERRY AVE
CHICAGO, IL
(41.720733, -87.62622)"
25-09-206-015-0000,9525,S,PERRY,AVE,3073,21,ROSELAND,RS-3,NOT IN TIF,"9525 S PERRY AVE
CHICAGO, IL
(41.721167, -87.626228)"
25-09-206-032-0000,9522,S,LAFAYETTE,AVE,2491,21,ROSELAND,RS-3,NOT IN TIF,"9522 S LAFAYETTE AVE
CHICAGO, IL
(41.720963, -87.625046)"
25-09-209-043-0000,9635,S,HARVARD,AVE,3724,21,ROSELAND,RS-2,NOT IN TIF,"9635 S HARVARD AVE
CHICAGO, IL
(41.718673, -87.632218)"
25-09-211-009-0000,9621,S,YALE,AVE,3080,21,ROSELAND,RS-2,NOT IN TIF,"9621 S YALE AVE
CHICAGO, IL
(41.719145, -87.629818)"
25-09-303-001-0000,9901,S,LOWE,,3641,9,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"9901 S LOWE
CHICAGO, IL
(41.71424, -87.639356)"
25-09-311-013-0000,10047,S,LOWE,AVE,6272,9,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"10047 S LOWE AVE
CHICAGO, IL
(41.711039, -87.639295)"
25-09-312-020-0000,10016,S,PARNELL,AVE,4689,9,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"10016 S PARNELL AVE
CHICAGO, IL
(41.711928, -87.636903)"
25-09-323-015-0000,424,W,102ND,ST,5900,9,WASHINGTON HEIGHTS,RS-2,NOT IN TIF,"424 W 102ND ST
CHICAGO, IL
(41.708821, -87.634627)"
25-09-324-036-0000,732,W,103,ST,3246,34,WASHINGTON HEIGHTS,RS-3,105th/Vincennes,"732 W 103 ST
CHICAGO, IL
(41.706932, -87.641623)"
25-09-325-037-0000,10208,S,UNION,AVE,4260,34,WASHINGTON HEIGHTS,RS-2,105th/Vincennes,"10208 S UNION AVE
CHICAGO, IL
(41.708431, -87.640451)"
25-09-326-008-0000,10223,S,UNION,AVE,6271,34,WASHINGTON HEIGHTS,RS-2,105th/Vincennes,"10223 S UNION AVE
CHICAGO, IL
(41.70802, -87.640442)"
25-09-328-010-0000,10200,S,PARNELL,AVE,2996,9,WASHINGTON HEIGHTS,RS-2,105th/Vincennes,"10200 S PARNELL AVE
CHICAGO, IL
(41.708683, -87.636806)"
25-09-328-011-0000,10200,S,PARNELL,AVE,3007,9,WASHINGTON HEIGHTS,RS-2,105th/Vincennes,"10200 S PARNELL AVE
CHICAGO, IL
(41.708683, -87.636806)"
25-09-329-025-0000,500,W,103RD,ST,6370,9,WASHINGTON HEIGHTS,C2-1,105th/Vincennes,"500 W 103RD ST
CHICAGO, IL
(41.707009, -87.635776)"
25-09-330-010-0000,444,W,102ND,PL,5916,9,WASHINGTON HEIGHTS,RS-2,105th/Vincennes,"444 W 102ND PL
CHICAGO, IL
(41.707947, -87.63483)"
25-09-330-020-0000,10204,S,EGGLESTON,AVE,4600,9,WASHINGTON HEIGHTS,RS-2,105th/Vincennes,"10204 S EGGLESTON AVE
CHICAGO, IL
(41.708585, -87.633623)"
25-09-407-010-0000,9923,S,LAFAYETTE,AVE,3683,9,ROSELAND,RS-2,NOT IN TIF,"9923 S LAFAYETTE AVE
CHICAGO, IL
(41.713711, -87.624871)"
25-09-412-008-0000,10023,S,WENTWORTH,AVE,4977,9,ROSELAND,RS-2,NOT IN TIF,"10023 S WENTWORTH AVE
CHICAGO, IL
(41.711826, -87.628446)"
25-09-415-004-0000,10001,S,STATE,,3649,9,ROSELAND,RS-3,NOT IN TIF,"10001 S STATE
CHICAGO, IL
(41.712639, -87.623644)"
25-09-416-018-0000,348,W,101ST,PL,3063,9,ROSELAND,RS-2,NOT IN TIF,"348 W 101ST PL
CHICAGO, IL
(41.709762, -87.632694)"
25-09-422-013-0000,10139,S,PERRY,,3713,9,ROSELAND,RS-2,NOT IN TIF,"10139 S PERRY
CHICAGO, IL
(41.710064, -87.625978)"
25-09-422-025-0000,10120,S,LAFAYETTE,AVE,4510,9,ROSELAND,RS-2,NOT IN TIF,"10120 S LAFAYETTE AVE
CHICAGO, IL
(41.710102, -87.624802)"
25-09-423-015-0000,10157,S,LAFAYETTE,AVE,4420,9,ROSELAND,RS-2,NOT IN TIF,"10157 S LAFAYETTE AVE
CHICAGO, IL
(41.709114, -87.624787)"
25-09-427-020-0000,,,,,3095,9,ROSELAND,RS-2,NOT IN TIF,
25-09-427-033-0000,154,W,103RD,ST,3906,9,ROSELAND,B3-1,Roseland/Michigan,"154 W 103RD ST
CHICAGO, IL
(41.707105, -87.62803)"
25-09-427-039-0000,142,W,103RD,,3171,9,ROSELAND,B3-1,Roseland/Michigan,"142 W 103RD
CHICAGO, IL
(41.707116, -87.627361)"
25-09-427-041-0000,128,W,103RD,ST,7122,9,ROSELAND,B3-1,Roseland/Michigan,"128 W 103RD ST
CHICAGO, IL
(41.707117, -87.627334)"
25-10-301-038-0000,34,E,100TH,ST,3900,9,ROSELAND,RS-3,NOT IN TIF,"34 E 100TH ST
CHICAGO, IL
(41.71266, -87.622242)"
25-10-308-011-0000,15,E,100TH,ST,3121,9,ROSELAND,RS-3,NOT IN TIF,"15 E 100TH ST
CHICAGO, IL
(41.71265, -87.622887)"
25-10-308-012-0000,15,E,100TH,ST,3111,9,ROSELAND,RS-3,NOT IN TIF,"15 E 100TH ST
CHICAGO, IL
(41.71265, -87.622887)"
25-10-308-013-0000,21,E,100TH,ST,3111,9,ROSELAND,RS-3,NOT IN TIF,"21 E 100TH ST
CHICAGO, IL
(41.712653, -87.622716)"
25-10-308-045-0000,52,E,100TH,PL,3111,9,ROSELAND,RS-3,NOT IN TIF,"52 E 100TH PL
CHICAGO, IL
(41.711749, -87.621491)"
25-10-308-046-0000,54,E,100TH,PL,3111,9,ROSELAND,RS-3,NOT IN TIF,"54 E 100TH PL
CHICAGO, IL
(41.71175, -87.621403)"
25-10-309-022-0000,53,E,100TH,PL,4634,9,ROSELAND,RS-3,NOT IN TIF,"53 E 100TH PL
CHICAGO, IL
(41.711749, -87.621493)"
25-10-309-057-0000,10050,S,MICHIGAN,AVE,3528,9,ROSELAND,C1-1,Roseland/Michigan,"10050 S MICHIGAN AVE
CHICAGO, IL
(41.71152, -87.620006)"
25-10-310-035-0000,10059,S,MICHIGAN,AVE,4429,9,ROSELAND,C1-1/RS-2,Roseland/Michigan,"10059 S MICHIGAN AVE
CHICAGO, IL
(41.710973, -87.619929)"
25-10-316-023-0000,57,E,101ST,PL,3754,9,ROSELAND,RS-3,NOT IN TIF,"57 E 101ST PL
CHICAGO, IL
(41.709929, -87.621339)"
25-10-317-035-0000,10124,S,INDIANA,AVE,4172,9,ROSELAND,RS-3,NOT IN TIF,"10124 S INDIANA AVE
CHICAGO, IL
(41.710434, -87.618717)"
25-10-323-048-0000,28,E,103RD,ST,3272,9,ROSELAND,B3-1,Roseland/Michigan,"28 E 103RD ST
CHICAGO, IL
(41.707181, -87.622461)"
25-10-324-001-0000,10201,S,MICHIGAN,AVE,3517,9,ROSELAND,C1-1,Roseland/Michigan,"10201 S MICHIGAN AVE
CHICAGO, IL
(41.708947, -87.619962)"
25-10-324-002-0000,10205,S,MICHIGAN,AVE,3599,9,ROSELAND,C1-1,Roseland/Michigan,"10205 S MICHIGAN AVE
CHICAGO, IL
(41.708883, -87.619971)"
25-10-324-003-0000,10207,S,MICHIGAN,AVE,3684,9,ROSELAND,C1-1,Roseland/Michigan,"10207 S MICHIGAN AVE
CHICAGO, IL
(41.708807, -87.619982)"
25-10-324-004-0000,10211,S,MICHIGAN,AVE,4167,9,ROSELAND,C1-1,Roseland/Michigan,"10211 S MICHIGAN AVE
CHICAGO, IL
(41.708749, -87.61999)"
25-10-324-006-0000,10215,S,MICHIGAN,AVE,5710,9,ROSELAND,C1-1,Roseland/Michigan,"10215 S MICHIGAN AVE
CHICAGO, IL
(41.708599, -87.620011)"
25-10-324-007-0000,10217,S,MICHIGAN,AVE,4214,9,ROSELAND,C1-1,Roseland/Michigan,"10217 S MICHIGAN AVE
CHICAGO, IL
(41.708508, -87.620024)"
25-10-324-017-0000,10249,S,MICHIGAN,AVE,5053,9,ROSELAND,B3-1,Roseland/Michigan,"10249 S MICHIGAN AVE
CHICAGO, IL
(41.707919, -87.620117)"
25-10-324-036-0000,122,E,103RD,ST,6059,9,ROSELAND,B3-2,Roseland/Michigan,"122 E 103RD ST
CHICAGO, IL
(41.707238, -87.61909)"
25-10-324-039-0000,132,E,103RD,ST,11392,9,ROSELAND,B3-2,Roseland/Michigan,"132 E 103RD ST
CHICAGO, IL
(41.707238, -87.619022)"
25-11-100-027-0000,9705,S,COTTAGE GROVE,,21689,8,PULLMAN,M1-2,Stony Island/Burnside,"9705 S COTTAGE GROVE
CHICAGO, IL
"
25-11-100-032-0000,9657,S,COTTAGE GROVE,AVE,24993,8,PULLMAN,M1-2,Stony Island/Burnside,"9657 S COTTAGE GROVE AVE
CHICAGO, IL
(41.718755, -87.603958)"
25-11-100-033-0000,9661,S,COTTAGE GROVE,AVE,16468,8,PULLMAN,M1-2,Stony Island/Burnside,"9661 S COTTAGE GROVE AVE
CHICAGO, IL
(41.718591, -87.603997)"
25-11-100-034-0000,9661,S,COTTAGE GROVE,AVE,35588,8,PULLMAN,M1-2,Stony Island/Burnside,"9661 S COTTAGE GROVE AVE
CHICAGO, IL
(41.718591, -87.603997)"
25-11-100-039-0000,9705,S,COTTAGE GROVE,,10459,8,PULLMAN,M1-2,Stony Island/Burnside,"9705 S COTTAGE GROVE
CHICAGO, IL
"
25-11-103-002-0000,1105,E,95TH,ST,3124,8,PULLMAN,C1-1,Stony Island/Burnside,"1105 E 95TH ST
CHICAGO, IL
(41.72211, -87.59688)"
25-11-103-003-0000,1107,E,95TH,ST,3119,8,PULLMAN,C1-1,Stony Island/Burnside,"1107 E 95TH ST
CHICAGO, IL
(41.722113, -87.596785)"
25-11-103-004-0000,1109,E,95TH,ST,3125,8,PULLMAN,C1-1,Stony Island/Burnside,"1109 E 95TH ST
CHICAGO, IL
(41.722111, -87.596848)"
25-11-103-005-0000,1111,E,95TH,ST,3122,8,PULLMAN,C1-1,Stony Island/Burnside,"1111 E 95TH ST
CHICAGO, IL
(41.722113, -87.596754)"
25-11-117-023-0000,9815,S,COTTAGE GROVE,AVE,16689,8,PULLMAN,B3-1,Stony Island/Burnside,"9815 S COTTAGE GROVE AVE
CHICAGO, IL
(41.716151, -87.604549)"
25-11-300-034-0000,915,E,99TH,ST,408164,8,PULLMAN,M1-1,Stony Island/Burnside,"915 E 99TH ST
CHICAGO, IL
(41.714886, -87.596069)"
25-12-419-032-0000,10024,S,TORRENCE,AVE,4692,7,SOUTH DEERING,C1-1,NOT IN TIF,"10024 S TORRENCE AVE
CHICAGO, IL
(41.712806, -87.559746)"
25-12-419-033-0000,10028,S,TORRENCE,AVE,3127,7,SOUTH DEERING,C1-1,NOT IN TIF,"10028 S TORRENCE AVE
CHICAGO, IL
(41.712733, -87.559745)"
25-12-419-034-0000,10030,S,TORRENCE,AVE,3127,7,SOUTH DEERING,C1-1,NOT IN TIF,"10030 S TORRENCE AVE
CHICAGO, IL
(41.712654, -87.559743)"
25-12-419-035-0000,10032,S,TORRENCE,AVE,3129,7,SOUTH DEERING,C1-1,NOT IN TIF,"10032 S TORRENCE AVE
CHICAGO, IL
(41.712588, -87.559742)"
25-12-419-058-0000,10018,S,TORRENCE,AVE,3128,7,SOUTH DEERING,C1-1,NOT IN TIF,"10018 S TORRENCE AVE
CHICAGO, IL
(41.712949, -87.559749)"
25-12-419-059-0000,10020,S,TORRENCE,AVE,1565,7,SOUTH DEERING,C1-1,NOT IN TIF,"10020 S TORRENCE AVE
CHICAGO, IL
(41.712882, -87.559747)"
25-12-423-007-0000,10119,S,HOXIE,AVE,3515,7,SOUTH DEERING,RS-2,NOT IN TIF,"10119 S HOXIE AVE
CHICAGO, IL
(41.711148, -87.560943)"
25-12-447-031-0000,10534,S,HOXIE,AVE,3133,10,SOUTH DEERING,RS-3,NOT IN TIF,"10534 S HOXIE AVE
CHICAGO, IL
(41.703493, -87.560816)"
25-13-206-005-0000,10711,S,HOXIE,AVE,3030,10,SOUTH DEERING,RS-3,NOT IN TIF,"10711 S HOXIE AVE
CHICAGO, IL
(41.700571, -87.560789)"
25-13-206-006-0000,10713,S,HOXIE,AVE,3035,10,SOUTH DEERING,RS-3,NOT IN TIF,"10713 S HOXIE AVE
CHICAGO, IL
(41.700502, -87.560788)"
25-13-206-025-0000,10702,S,TORRENCE,AVE,3034,10,SOUTH DEERING,C1-1,NOT IN TIF,"10702 S TORRENCE AVE
CHICAGO, IL
(41.700772, -87.559582)"
25-13-206-026-0000,10706,S,TORRENCE,AVE,3034,10,SOUTH DEERING,C1-1,NOT IN TIF,"10706 S TORRENCE AVE
CHICAGO, IL
(41.700703, -87.559581)"
25-13-206-036-0000,10730,S,TORRENCE,AVE,3030,10,SOUTH DEERING,C1-1,NOT IN TIF,"10730 S TORRENCE AVE
CHICAGO, IL
(41.700021, -87.559569)"
25-13-206-046-0000,10758,S,TORRENCE,AVE,2906,10,SOUTH DEERING,C1-1,NOT IN TIF,"10758 S TORRENCE AVE
CHICAGO, IL
(41.699224, -87.559559)"
25-13-206-047-0000,10758,S,TORRENCE,,3011,10,SOUTH DEERING,C1-1,NOT IN TIF,"10758 S TORRENCE
CHICAGO, IL
(41.699946, -87.559568)"
25-14-101-031-0000,10400,S,MARYLAND,AVE,4141,9,PULLMAN,RS-3,North Pullman,"10400 S MARYLAND AVE
CHICAGO, IL
(41.705482, -87.60278)"
25-14-101-032-0000,10404,S,MARYLAND,AVE,2595,9,PULLMAN,RS-3,North Pullman,"10404 S MARYLAND AVE
CHICAGO, IL
(41.705407, -87.602774)"
25-14-101-041-0000,10424,S,MARYLAND,AVE,2602,9,PULLMAN,RS-3,North Pullman,"10424 S MARYLAND AVE
CHICAGO, IL
(41.705195, -87.602762)"
25-14-101-042-0000,10426,S,MARYLAND,AVE,2626,9,PULLMAN,RS-3,North Pullman,"10426 S MARYLAND AVE
CHICAGO, IL
(41.704761, -87.602738)"
25-14-101-043-0000,10428,S,MARYLAND,AVE,2595,9,PULLMAN,RS-3,North Pullman,"10428 S MARYLAND AVE
CHICAGO, IL
(41.704677, -87.602733)"
25-14-102-029-0000,819,E,105TH,ST,6481,9,PULLMAN,RM-5,North Pullman,"819 E 105TH ST
CHICAGO, IL
(41.703799, -87.603597)"
25-14-102-047-0000,10544,S,MARYLAND,AVE,2593,9,PULLMAN,RS-3,North Pullman,"10544 S MARYLAND AVE
CHICAGO, IL
(41.702405, -87.602643)"
25-14-102-048-0000,10546,S,MARYLAND,AVE,2623,9,PULLMAN,RS-3,North Pullman,"10546 S MARYLAND AVE
CHICAGO, IL
(41.702428, -87.602644)"
25-15-100-012-0000,8,E,103RD,PL,4616,9,ROSELAND,RS-3,NOT IN TIF,"8 E 103RD PL
CHICAGO, IL
(41.706261, -87.623166)"
25-15-107-009-0000,10347,S,STATE,ST,3244,9,ROSELAND,RS-3,NOT IN TIF,"10347 S STATE ST
CHICAGO, IL
(41.705736, -87.623495)"
25-15-107-011-0000,10353,S,STATE,ST,3251,9,ROSELAND,RS-3,NOT IN TIF,"10353 S STATE ST
CHICAGO, IL
(41.705586, -87.623491)"
25-15-107-012-0000,10355,S,STATE,ST,3248,9,ROSELAND,RS-3,NOT IN TIF,"10355 S STATE ST
CHICAGO, IL
(41.705519, -87.623489)"
25-15-107-017-0000,10354,S,WABASH,AVE,3250,9,ROSELAND,RS-3,NOT IN TIF,"10354 S WABASH AVE
CHICAGO, IL
(41.705566, -87.622304)"
25-15-108-010-0000,57,E,103RD,PL,4609,9,ROSELAND,RS-3,NOT IN TIF,"57 E 103RD PL
CHICAGO, IL
(41.706294, -87.621281)"
